user.key;datetime;meter.reading;diff
df789230-d273-4fd0-aa24-6f5419469295;16/11/2016 19:08:00;1064386;28
df789230-d273-4fd0-aa24-6f5419469295;16/11/2016 20:08:00;1064386;0
df789230-d273-4fd0-aa24-6f5419469295;16/11/2016 21:08:05;1064392;6
df789230-d273-4fd0-aa24-6f5419469295;16/11/2016 22:08:05;1064424;32
df789230-d273-4fd0-aa24-6f5419469295;16/11/2016 23:08:05;1064438;14
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 00:08:05;1064455;17
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 01:07:53;1064510;55
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 02:07:53;1064517;7
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 03:07:53;1064517;0
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 04:07:53;1064517;0
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 05:08:06;1064517;0
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 06:08:06;1064523;6
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 07:08:06;1064523;0
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 08:08:06;1064557;34
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 09:07:59;1064586;29
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 10:07:59;1064606;20
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 11:07:59;1064607;1
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 12:07:59;1064607;0
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 13:07:52;1064660;53
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 14:07:52;1064672;12
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 15:07:52;1064699;27
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 16:07:52;1064750;51
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 17:07:53;1064782;32
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 18:07:53;1064788;6
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 19:07:53;1064789;1
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 20:07:53;1065134;345
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 21:08:01;1065138;4
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 22:08:01;1065156;18
df789230-d273-4fd0-aa24-6f5419469295;17/11/2016 23:08:01;1065173;17
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 00:08:01;1065173;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 01:08:04;1065231;58
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 02:08:04;1065238;7
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 03:08:04;1065238;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 04:08:04;1065238;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 05:07:51;1065238;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 06:07:51;1065238;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 07:07:51;1065238;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 08:07:51;1065261;23
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 09:07:57;1065300;39
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 10:07:57;1065333;33
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 11:07:57;1065369;36
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 12:07:57;1065449;80
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 13:09:40;1065520;71
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 14:09:40;1065571;51
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 15:09:40;1065619;48
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 16:09:40;1065678;59
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 17:07:52;1065679;1
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 18:07:52;1065679;0
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 19:07:52;1065686;7
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 20:07:52;1065687;1
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 21:08:03;1065743;56
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 22:08:03;1065773;30
df789230-d273-4fd0-aa24-6f5419469295;18/11/2016 23:08:03;1065788;15
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 00:08:03;1065789;1
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 01:08:01;1065851;62
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 02:08:01;1065851;0
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 03:08:01;1065851;0
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 04:08:01;1065851;0
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 05:08:04;1065851;0
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 06:08:04;1065857;6
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 07:08:04;1065857;0
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 08:08:04;1065912;55
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 09:07:51;1065937;25
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 10:07:51;1065963;26
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 11:07:51;1066028;65
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 12:07:51;1066056;28
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 13:07:56;1066149;93
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 14:07:56;1066183;34
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 15:07:56;1066208;25
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 16:07:56;1066234;26
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 17:07:57;1066256;22
df789230-d273-4fd0-aa24-6f5419469295;19/11/2016 18:07:57;1066257;1
